"Interval start","All Packets"
8,218
9,240
10,223
11,223
12,226
13,227
14,231
15,236
16,229
17,220
18,233
19,222
20,234
21,227
22,238
23,228
24,224
25,220
26,227
27,227
28,239
29,228
30,223
31,225
32,225
33,234
34,226
35,223
36,232
37,224
38,222
39,231
40,236
41,233
42,227
43,222
44,221
45,229
46,230
47,237
48,221
49,238
50,219
51,230
52,222
53,241
54,238
55,225
56,218
57,225
58,228
59,233
60,231
61,229
62,236
63,211
64,231
65,224
66,242
67,232
68,222
69,220
70,236
71,223
72,230
73,233
74,228
75,239
76,218
77,224
78,222
79,229
80,239
81,223
82,224
83,231
84,225
85,229
86,232
87,222
88,236
89,228
90,226
91,223
92,221
93,234
94,235
95,224
96,228
97,227
98,224
99,231
100,225
101,232
102,229
103,194
104,190
105,226
106,260
107,279
108,252
109,253
110,246
111,250
112,251
113,244
114,262
115,328
116,330
117,333
118,332
119,321
120,295
121,287
122,296
123,302
124,298
125,313
126,290
127,288
128,283
129,294
130,286
131,299
132,279
133,291
134,289
135,304
136,298
137,297
138,304
139,296
140,283
141,289
142,287
143,293
144,293
145,281
146,294
147,297
148,295
149,305
150,289
151,303
152,304
153,283
154,286
155,283
156,292
157,296
158,281
159,294
160,297
161,293
162,297
163,299
164,303
165,311
166,289
167,285
168,284
169,292
170,297
171,281
172,285
173,307
174,280
175,304
176,298
177,306
178,304
179,281
180,277
181,289
182,289
183,288
184,299
185,290
186,294
187,283
188,309
189,292
190,305
191,311
192,285
193,279
194,287
195,282
196,296
197,285
198,295
199,290
200,290
201,296
202,304
203,283
204,250
205,268
206,248
207,219
208,251
209,222
210,240
211,235
212,232
213,240
214,227
215,239
216,234
217,240
218,219
219,225
220,223
221,228
222,221
223,243
224,230
225,238
226,225
227,240
228,233
229,247
230,237
231,224
232,223
233,226
234,223
235,226
236,232
237,239
238,227
239,233
240,242
241,221
242,254
243,237
244,228
245,226
246,219
247,226
248,229
249,219
250,241
251,232
252,232
253,246
254,228
255,238
256,241
257,223
258,231
259,213
260,224
261,227
262,219
263,239
264,233
265,237
266,241
267,227
268,235
269,242
270,219
271,226
272,215
273,217
274,227
275,211
276,247
277,238
278,221
279,245
280,226
281,234
282,244
283,227
284,215
285,221
286,220
287,228
288,218
289,243
290,233
291,224
292,239
293,228
294,235
295,228
296,234
297,219
298,223
299,218
300,227
301,220
302,242
303,232
304,226
305,226
306,224
307,215
308,267
309,263
310,250
311,278
312,263
313,267
314,270
315,255
316,256
317,245
318,247
319,246
320,249
321,244
322,244
323,256
324,249
325,258
326,252
327,258
328,263
329,266
330,302
331,307
332,291
333,320
334,293
335,299
336,302
337,310
338,315
339,305
340,312
341,309
342,286
343,298
344,297
345,304
346,312
347,297
348,295
349,304
350,308
351,306
352,314
353,308
354,324
355,306
356,304
357,299
358,286
359,320
360,296
361,306
362,295
363,314
364,300
365,317
366,310
367,321
368,308
369,308
370,295
371,298
372,310
373,299
374,309
375,291
376,312
377,304
378,317
379,311
380,318
381,306
382,314
383,291
384,297
385,308
386,301
387,298
388,304
389,304
390,313
391,300
392,313
393,323
394,309
395,309
396,296
397,299
398,308
399,306
400,291
401,300
402,310
403,304
404,312
405,295
406,281
407,258
408,247
409,268
410,271
411,264
412,195
413,210
414,209
415,134
416,312
417,219
418,226
419,216
420,237
421,209
422,206
423,218
424,205
425,221
426,217
427,215
428,219
429,215
430,222
431,223
432,223
433,221
434,221
435,208
436,210
437,208
438,219
439,201
440,218
441,212
442,222
443,222
444,227
445,212
446,224
447,213
448,206
449,216
450,205
451,215
452,213
453,216
454,215
455,227
456,215
457,221
458,224
459,228
460,216
461,215
462,210
463,205
464,223
465,210
466,213
467,201
468,224
469,224
470,209
471,232
472,235
473,217
474,208
475,203
476,225
477,217
478,213
479,206
480,209
481,227
482,184
483,217
484,225
485,224
486,224
487,208
488,213
489,214
490,214
491,210
492,214
493,209
494,219
495,225
496,221
497,227
498,216
499,235
500,206
501,205
502,225
503,207
504,219
505,211
506,209
507,220
